-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.010
-183.800, 80.200, 0.000,  0.230
-183.800, 80.200, -0.009,  0.261
-183.800, 80.199, 0.012,  0.317
-183.799, 80.196, 0.074,  0.510
-183.791, 80.175, 0.345,  0.565
-183.777, 80.147, 0.567,  0.600
-183.764, 80.122, 0.743,  0.815
-183.718, 80.030, 1.039,  0.854
-183.698, 79.985, 1.271,  0.906
-183.670, 79.912, 1.479,  1.112
-183.619, 79.762, 1.574,  1.145
-183.602, 79.713, 1.588,  1.201
-183.573, 79.627, 1.604,  1.412
-183.521, 79.477, 1.565,  1.446
-183.504, 79.426, 1.580,  1.507
-183.471, 79.335, 1.570,  1.687
-183.418, 79.188, 1.532,  1.720
-183.400, 79.140, 1.528,  1.774
-183.371, 79.061, 1.560,  1.988
-183.315, 78.913, 1.557,  2.021
-183.297, 78.865, 1.559,  2.076
-183.266, 78.783, 1.592,  2.258
-183.208, 78.633, 1.593,  2.303
-183.183, 78.565, 1.611,  2.351
-183.155, 78.492, 1.619,  2.539
-183.097, 78.340, 1.624,  2.573
-183.077, 78.287, 1.662,  2.629
-183.043, 78.197, 1.695,  2.833
-182.984, 78.040, 1.672,  2.867
-182.964, 77.986, 1.693,  2.930
-182.927, 77.886, 1.703,  3.154
-182.869, 77.728, 1.683,  3.200
-182.842, 77.654, 1.691,  3.246
-182.815, 77.581, 1.707,  3.435
-182.757, 77.420, 1.715,  3.471
-182.736, 77.361, 1.749,  3.528
-182.702, 77.266, 1.782,  3.738
-182.645, 77.098, 1.767,  3.785
-182.618, 77.020, 1.772,  4.008
-182.562, 76.852, 1.777,  4.055
-182.535, 76.771, 1.790,  4.102
-182.509, 76.692, 1.807,  4.301
-182.454, 76.519, 1.820,  4.335
-182.436, 76.459, 1.848,  4.395
-182.403, 76.352, 1.879,  4.594
-182.349, 76.173, 1.867,  4.627
-182.331, 76.112, 1.882,  4.685
-182.301, 76.007, 1.904,  4.867
-182.250, 75.824, 1.892,  4.914
-182.226, 75.738, 1.897,  4.964
-182.201, 75.645, 1.924,  5.189
-182.152, 75.458, 1.934,  5.223
-182.136, 75.394, 1.950,  5.281
-182.108, 75.283, 1.972,  5.487
-182.061, 75.091, 1.971,  5.521
-182.046, 75.025, 1.984,  5.579
-182.020, 74.912, 2.004,  5.787
-181.976, 74.716, 2.008,  5.822
-181.961, 74.647, 2.021,  5.879
-181.937, 74.533, 2.040,  6.065
-181.896, 74.332, 2.050,  6.099
-181.882, 74.263, 2.060,  6.155
-181.860, 74.148, 2.077,  6.378
-181.822, 73.942, 2.088,  6.415
-181.808, 73.867, 2.100,  6.470
-181.788, 73.753, 2.116,  6.694
-181.753, 73.542, 2.131,  6.740
-181.737, 73.445, 2.138,  6.932
-181.705, 73.232, 2.153,  6.966
-181.694, 73.159, 2.168,  7.022
-181.676, 73.039, 2.187,  7.210
-181.646, 72.820, 2.211,  7.245
-181.636, 72.743, 2.218,  7.301
-181.620, 72.618, 2.230,  7.509
-181.593, 72.396, 2.248,  7.543
-181.584, 72.319, 2.256,  7.598
-181.570, 72.195, 2.268,  7.789
-181.546, 71.968, 2.290,  7.823
-181.538, 71.890, 2.297,  7.881
-181.525, 71.758, 2.310,  8.093
-181.503, 71.526, 2.333,  8.128
-181.496, 71.443, 2.342,  8.183
-181.485, 71.316, 2.354,  8.442
-181.466, 71.079, 2.378,  8.489
-181.458, 70.967, 2.389,  8.532
-181.450, 70.864, 2.400,  8.743
-181.434, 70.623, 2.423,  8.798
